User	Sim	Time	Index	User or Model?	Event	Item	Action	Charge	Connection	Battery voltage	Separation	Area	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
12816168	capacitor_charge	10.5	1359	user	dragged	batteryNode													
12816168	capacitor_charge	10.51	1363	user	dragged	batteryNode													
12816168	capacitor_charge	10.52	1366	user	dragged	batteryNode													
12816168	capacitor_charge	10.53	1370	user	dragged	batteryNode													
12816168	capacitor_charge	10.53	1373	user	dragged	batteryNode													
12816168	capacitor_charge	10.54	1377	user	dragged	batteryNode													
12816168	capacitor_charge	10.55	1380	user	dragged	batteryNode													
12816168	capacitor_charge	10.56	1384	user	dragged	batteryNode													
12816168	capacitor_charge	10.56	1387	user	dragged	batteryNode													
12816168	capacitor_charge	10.58	1391	user	dragged	batteryNode													
12816168	capacitor_charge	10.58	1394	user	dragged	batteryNode													
12816168	capacitor_charge	10.6	1398	user	dragged	batteryNode													
12816168	capacitor_charge	10.73	1409	user	dragged	batteryNode													
12816168	capacitor_charge	10.78	1415	user	dragged	batteryNode													
12816168	capacitor_charge	10.78	1418	user	dragged	batteryNode													
12816168	capacitor_charge	10.79	1422	user	dragged	batteryNode													
12816168	capacitor_charge	10.8	1425	user	dragged	batteryNode													
12816168	capacitor_charge	10.81	1429	user	dragged	batteryNode													
12816168	capacitor_charge	10.81	1432	user	dragged	batteryNode													
12816168	capacitor_charge	10.83	1436	user	dragged	batteryNode													
12816168	capacitor_charge	10.83	1439	user	dragged	batteryNode													
12816168	capacitor_charge	10.84	1443	user	dragged	batteryNode													
12816168	capacitor_charge	10.85	1446	user	dragged	batteryNode													
12816168	capacitor_charge	10.86	1449	user	dragged	batteryNode													
12816168	capacitor_charge	10.86	1453	user	dragged	batteryNode													
12816168	capacitor_charge	10.87	1457	user	dragged	batteryNode													
12816168	capacitor_charge	10.88	1460	user	dragged	batteryNode													
12816168	capacitor_charge	10.89	1463	user	dragged	batteryNode													
12816168	capacitor_charge	10.89	1467	user	dragged	batteryNode													
12816168	capacitor_charge	10.91	1470	user	dragged	batteryNode													
12816168	capacitor_charge	10.91	1474	user	dragged	batteryNode													
12816168	capacitor_charge	10.92	1477	user	dragged	batteryNode													
12816168	capacitor_charge	10.97	1481	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	10.97	1484	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	10.99	1487	model	updating state			-0.11	BATTERY_CONNECTED	-1.2164	10.0	100.0							
12816168	capacitor_charge	11.0	1490	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	11.0	1493	model	updating state			-0.08	BATTERY_CONNECTED	-0.9011	10.0	100.0							
12816168	capacitor_charge	11.04	1496	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	11.04	1499	model	updating state			-0.03	BATTERY_CONNECTED	-0.3604	10.0	100.0							
12816168	capacitor_charge	11.07	1502	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	11.07	1505	model	updating state			0.0	BATTERY_CONNECTED	0.0	10.0	100.0							
12816168	capacitor_charge	11.1	1508	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	11.1	1511	model	updating state			0.06	BATTERY_CONNECTED	0.6308	10.0	100.0							
12816168	capacitor_charge	11.13	1514	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	11.14	1517	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	11.15	1520	model	updating state			0.12	BATTERY_CONNECTED	1.3516	10.0	100.0							
12816168	capacitor_charge	11.15	1523	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	11.15	1526	model	updating state			0.13	BATTERY_CONNECTED	1.5	10.0	100.0							
12816168	capacitor_charge	11.16	1529	user	dragged	batteryNode													
12816168	capacitor_charge	11.16	1532	model	updating state			0.13	BATTERY_CONNECTED	1.5	10.0	100.0							
12816168	capacitor_charge	11.16	1535	user	dragged	batteryNode													
12816168	capacitor_charge	11.16	1538	user	dragged	batteryNode													
12816168	capacitor_charge	11.17	1542	user	dragged	batteryNode													
12816168	capacitor_charge	11.18	1545	user	dragged	batteryNode													
12816168	capacitor_charge	11.19	1549	user	dragged	batteryNode													
12816168	capacitor_charge	11.2	1552	user	dragged	batteryNode													
12816168	capacitor_charge	11.21	1556	user	dragged	batteryNode													
12816168	capacitor_charge	11.21	1559	user	dragged	batteryNode													
12816168	capacitor_charge	11.23	1563	user	dragged	batteryNode													
12816168	capacitor_charge	11.23	1566	user	dragged	batteryNode													
12816168	capacitor_charge	11.24	1570	user	dragged	batteryNode													
12816168	capacitor_charge	11.24	1573	user	dragged	batteryNode													
12816168	capacitor_charge	11.26	1577	user	dragged	batteryNode													
12816168	capacitor_charge	11.26	1580	user	dragged	batteryNode													
12816168	capacitor_charge	11.28	1583	user	dragged	batteryNode													
12816168	capacitor_charge	11.28	1587	user	dragged	batteryNode													
12816168	capacitor_charge	11.29	1590	user	dragged	batteryNode													
12816168	capacitor_charge	11.29	1594	user	dragged	batteryNode													
12816168	capacitor_charge	11.3	1597	user	dragged	batteryNode													
12816168	capacitor_charge	11.31	1601	user	dragged	batteryNode													
12816168	capacitor_charge	11.56	1619	user	dragged	batteryNode													
12816168	capacitor_charge	11.58	1623	user	dragged	batteryNode													
12816168	capacitor_charge	11.58	1626	user	dragged	batteryNode													
12816168	capacitor_charge	11.59	1630	user	dragged	batteryNode													
12816168	capacitor_charge	11.6	1633	user	dragged	batteryNode													
12816168	capacitor_charge	11.61	1637	user	dragged	batteryNode													
12816168	capacitor_charge	11.61	1640	user	dragged	batteryNode													
12816168	capacitor_charge	11.63	1644	user	dragged	batteryNode													
12816168	capacitor_charge	11.63	1647	user	dragged	batteryNode													
12816168	capacitor_charge	11.66	1651	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	11.69	1654	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	11.7	1657	model	updating state			0.08	BATTERY_CONNECTED	0.9461	10.0	100.0							
12816168	capacitor_charge	11.72	1660	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	11.72	1663	model	updating state			0.0	BATTERY_CONNECTED	0.0901	10.0	100.0							
12816168	capacitor_charge	11.75	1666	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	11.76	1669	model	updating state			-0.06	BATTERY_CONNECTED	-0.7209	10.0	100.0							
12816168	capacitor_charge	11.77	1672	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	11.78	1675	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	11.78	1678	model	updating state			-0.13	BATTERY_CONNECTED	-1.5	10.0	100.0							
12816168	capacitor_charge	11.78	1681	user	dragged	batteryNode													
12816168	capacitor_charge	11.78	1684	model	updating state			-0.13	BATTERY_CONNECTED	-1.5	10.0	100.0							
12816168	capacitor_charge	11.78	1687	user	dragged	batteryNode													
12816168	capacitor_charge	11.79	1691	user	dragged	batteryNode													
12816168	capacitor_charge	11.8	1694	user	dragged	batteryNode													
12816168	capacitor_charge	11.81	1698	user	dragged	batteryNode													
12816168	capacitor_charge	11.81	1701	user	dragged	batteryNode													
12816168	capacitor_charge	11.82	1705	user	dragged	batteryNode													
12816168	capacitor_charge	11.83	1708	user	dragged	batteryNode													
12816168	capacitor_charge	11.85	1712	user	dragged	batteryNode													
12816168	capacitor_charge	11.86	1716	user	dragged	batteryNode													
12816168	capacitor_charge	11.86	1719	user	dragged	batteryNode													
12816168	capacitor_charge	11.88	1722	user	dragged	batteryNode													
12816168	capacitor_charge	11.88	1726	user	dragged	batteryNode													
12816168	capacitor_charge	11.89	1729	user	dragged	batteryNode													
12816168	capacitor_charge	11.9	1733	user	dragged	batteryNode													
12816168	capacitor_charge	11.9	1736	user	dragged	batteryNode													
12816168	capacitor_charge	11.91	1740	user	dragged	batteryNode													
12816168	capacitor_charge	11.93	1744	user	dragged	batteryNode													
12816168	capacitor_charge	12.06	1755	user	dragged	batteryNode													
12816168	capacitor_charge	12.08	1759	user	dragged	batteryNode													
12816168	capacitor_charge	12.09	1762	user	dragged	batteryNode													
12816168	capacitor_charge	12.1	1766	user	dragged	batteryNode													
12816168	capacitor_charge	12.1	1769	user	dragged	batteryNode													
12816168	capacitor_charge	12.11	1773	user	dragged	batteryNode													
12816168	capacitor_charge	12.12	1776	user	dragged	batteryNode													
12816168	capacitor_charge	12.13	1780	user	dragged	batteryNode													
12816168	capacitor_charge	12.13	1783	user	dragged	batteryNode													
12816168	capacitor_charge	12.14	1787	user	dragged	batteryNode													
12816168	capacitor_charge	12.15	1790	user	dragged	batteryNode													
12816168	capacitor_charge	12.16	1794	user	dragged	batteryNode													
12816168	capacitor_charge	12.16	1797	user	dragged	batteryNode													
12816168	capacitor_charge	12.18	1801	user	dragged	batteryNode													
12816168	capacitor_charge	12.21	1804	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.21	1807	model	updating state			-0.13	BATTERY_CONNECTED	-1.4868	10.0	100.0							
