User	Sim	Timestamp	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
test		1484680993951	2854	user	dragStarted	wavelengthControls	none														
test		1484680994375	2883	user	dragged	wavelengthControls	decreasing														
test		1484680994380	2886	user	dragged	wavelengthControls	decreasing														
test		1484680994397	2888	model	updating state	none	none	True	765	1.04	0.1	0.8892	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994398	2891	user	dragged	wavelengthControls	decreasing														
test		1484680994419	2893	model	updating state	none	none	True	760	1.04	0.1	0.8476	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994429	2896	user	dragged	wavelengthControls	decreasing														
test		1484680994429	2898	model	updating state	none	none	True	741	1.04	0.1	0.68744	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994455	2903	user	dragged	wavelengthControls	decreasing														
test		1484680994477	2906	user	dragged	wavelengthControls	decreasing														
test		1484680994478	2908	model	updating state	none	none	True	731	1.04	0.1	0.6032	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994480	2911	user	dragged	wavelengthControls	decreasing														
test		1484680994494	2913	model	updating state	none	none	True	726	1.04	0.1	0.55952	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994497	2916	user	dragged	wavelengthControls	decreasing														
test		1484680994513	2918	model	updating state	none	none	True	722	1.04	0.1	0.52624	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994522	2922	user	dragged	wavelengthControls	decreasing														
test		1484680994529	2925	user	dragged	wavelengthControls	decreasing														
test		1484680994541	2927	model	updating state	none	none	True	707	1.04	0.1	0.40976	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994549	2930	user	dragged	wavelengthControls	decreasing														
test		1484680994549	2933	user	dragged	wavelengthControls	decreasing														
test		1484680994562	2935	model	updating state	none	none	True	693	1.04	0.1	0.31408	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994565	2938	user	dragged	wavelengthControls	decreasing														
test		1484680994574	2940	model	updating state	none	none	True	683	1.04	0.1	0.25376	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994586	2944	user	dragged	wavelengthControls	decreasing														
test		1484680994614	2946	model	updating state	none	none	True	673	1.04	0.1	0.20488	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994637	2951	user	dragged	wavelengthControls	decreasing														
test		1484680994662	2954	user	dragged	wavelengthControls	decreasing														
test		1484680994663	2956	model	updating state	none	none	True	649	1.04	0.1	0.11232	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994674	2960	user	dragged	wavelengthControls	decreasing														
test		1484680994691	2962	model	updating state	none	none	True	640	1.04	0.1	0.09048	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994707	2966	user	dragged	wavelengthControls	decreasing														
test		1484680994728	2968	model	updating state	none	none	True	630	1.04	0.1	0.06968	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994739	2972	user	dragged	wavelengthControls	decreasing														
