User	Sim	Time	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
90447168	light_absorbance	154.61	18861	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	154.62	18863	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2.043448275862069, u'x': 6.111724137931034}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	154.71	18871	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	154.72	18873	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2.028965517241379, u'x': 6.097241379310344}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	154.91	18887	user	dragged	detectorNode	increasing														
90447168	light_absorbance	154.93	18890	user	dragged	detectorNode	increasing														
90447168	light_absorbance	154.93	18892	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2, u'x': 6.140689655172414}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	154.93	18895	user	dragged	detectorNode	increasing														
90447168	light_absorbance	154.93	18898	user	dragged	detectorNode	increasing														
90447168	light_absorbance	154.94	18900	model	updating state			True	780	2.0	0.11	2.07	{u'y': 1.9565517241379307, u'x': 6.198620689655172}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	154.94	18903	user	dragged	detectorNode	increasing														
90447168	light_absorbance	154.96	18905	model	updating state			True	780	2.0	0.11	2.07	{u'y': 1.9565517241379307, u'x': 6.213103448275861}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.19	18922	user	dragged	detectorNode	increasing														
90447168	light_absorbance	155.21	18924	model	updating state			True	780	2.0	0.11	2.07	{u'y': 1.9565517241379307, u'x': 6.227586206896552}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.25	18930	user	dragged	detectorNode	increasing														
90447168	light_absorbance	155.26	18933	user	dragged	detectorNode	increasing														
90447168	light_absorbance	155.27	18935	model	updating state			True	780	2.0	0.11	2.07	{u'y': 1.9710344827586206, u'x': 6.256551724137931}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.32	18941	user	dragged	detectorNode	increasing														
90447168	light_absorbance	155.34	18943	model	updating state			True	780	2.0	0.11	2.07	{u'y': 1.9710344827586206, u'x': 6.271034482758621}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.34	18946	user	dragged	detectorNode	increasing														
90447168	light_absorbance	155.34	18949	user	dragged	detectorNode	increasing														
90447168	light_absorbance	155.35	18951	model	updating state			True	780	2.0	0.11	2.07	{u'y': 1.9855172413793103, u'x': 6.28551724137931}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.63	18970	user	dragged	detectorNode	increasing														
90447168	light_absorbance	155.64	18972	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2, u'x': 6.28551724137931}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.78	18984	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	155.81	18986	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2, u'x': 6.256551724137931}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.83	18991	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	155.86	18993	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2.0144827586206895, u'x': 6.242068965517241}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.91	18999	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	155.92	19001	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2.0144827586206895, u'x': 6.227586206896552}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.95	19005	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	155.96	19007	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2.0144827586206895, u'x': 6.213103448275861}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	155.99	19012	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	156.0	19014	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2.0144827586206895, u'x': 6.198620689655172}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	156.14	19024	user	dragged	detectorNode	decreasing														
90447168	light_absorbance	156.14	19026	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2.0144827586206895, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	156.47	19049	user	dragEnded	detectorNode															
90447168	light_absorbance	156.49	19051	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	159.58	19683	user	dragStarted	cuvetteNode															
90447168	light_absorbance	160.16	19721	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.16	19724	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.18	19726	model	updating state			True	780	1.96	0.11	2.03	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.18	19729	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.2	19731	model	updating state			True	780	1.91	0.11	1.98	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.21	19734	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.21	19736	model	updating state			True	780	1.87	0.11	1.94	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.21	19739	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.22	19741	model	updating state			True	780	1.86	0.11	1.92	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.22	19744	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.23	19747	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.24	19749	model	updating state			True	780	1.84	0.11	1.9	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.31	19756	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.32	19758	model	updating state			True	780	1.83	0.11	1.9	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.37	19763	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.37	19765	model	updating state			True	780	1.82	0.11	1.89	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.38	19768	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.39	19770	model	updating state			True	780	1.82	0.11	1.88	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.39	19773	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.41	19775	model	updating state			True	780	1.81	0.11	1.87	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.41	19778	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.41	19781	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.43	19783	model	updating state			True	780	1.78	0.11	1.85	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.43	19786	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.44	19788	model	updating state			True	780	1.77	0.11	1.83	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.44	19791	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.46	19793	model	updating state			True	780	1.76	0.11	1.82	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.46	19796	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.47	19798	model	updating state			True	780	1.75	0.11	1.81	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.48	19802	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.51	19805	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.51	19807	model	updating state			True	780	1.74	0.11	1.8	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.52	19811	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.54	19813	model	updating state			True	780	1.73	0.11	1.79	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.55	19816	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.56	19819	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.56	19821	model	updating state			True	780	1.71	0.11	1.77	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.56	19824	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.57	19826	model	updating state			True	780	1.7	0.11	1.75	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.57	19829	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.58	19832	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.59	19834	model	updating state			True	780	1.66	0.11	1.72	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.59	19837	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.6	19840	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.6	19842	model	updating state			True	780	1.64	0.11	1.7	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.61	19845	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.61	19848	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.62	19850	model	updating state			True	780	1.62	0.11	1.67	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.63	19853	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.64	19855	model	updating state			True	780	1.61	0.11	1.66	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.64	19858	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.66	19860	model	updating state			True	780	1.6	0.11	1.66	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.66	19863	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.67	19865	model	updating state			True	780	1.58	0.11	1.64	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.68	19868	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.69	19871	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.69	19873	model	updating state			True	780	1.54	0.11	1.59	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.69	19876	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.71	19878	model	updating state			True	780	1.52	0.11	1.57	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.71	19881	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.72	19884	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.72	19886	model	updating state			True	780	1.47	0.11	1.52	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.73	19889	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.73	19892	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.74	19894	model	updating state			True	780	1.44	0.11	1.49	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	160.74	19897	user	dragged	cuvetteNode	decreasing														
90447168	light_absorbance	160.75	19900	user	dragged	cuvetteNode	decreasing														
